Frame	DateTime	TrackID	StartFrame	EndFrame	Class	x	y	w	h
BJOR-16_168_009854.JPG	2020:6:16:17:0:5	NA	NA	NA	NA	NA	NA	NA	NA
BJOR-16_168_009855.JPG	2020:6:16:18:0:13	NA	NA	NA	NA	NA	NA	NA	NA
BJOR-16_168_009857.JPG	2020:6:16:20:0:12	NA	NA	NA	NA	NA	NA	NA	NA
BJOR-16_168_009859.JPG	2020:6:16:22:0:13	NA	NA	NA	NA	NA	NA	NA	NA
BJOR-16_170_009885.JPG	2020:6:18:0:0:8	NA	NA	NA	NA	NA	NA	NA	NA
BJOR-16_170_009887.JPG	2020:6:18:2:0:16	NA	NA	NA	NA	NA	NA	NA	NA
BJOR-16_170_009889.JPG	2020:6:18:4:0:15	NA	NA	NA	NA	NA	NA	NA	NA
BJOR-16_170_009890.JPG	2020:6:18:5:0:29	NA	NA	NA	NA	NA	NA	NA	NA
BJOR-16_170_009891.JPG	2020:6:18:6:0:37	NA	NA	NA	NA	NA	NA	NA	NA
BJOR-16_170_009893.JPG	2020:6:18:8:0:43	NA	NA	NA	NA	NA	NA	NA	NA
BJOR-16_170_009894.JPG	2020:6:18:9:0:43	NA	NA	NA	NA	NA	NA	NA	NA
BJOR-16_170_009895.JPG	2020:6:18:10:0:44	NA	NA	NA	NA	NA	NA	NA	NA
BJOR-16_170_009896.JPG	2020:6:18:11:0:57	NA	NA	NA	NA	NA	NA	NA	NA
BJOR-16_170_009897.JPG	2020:6:18:12:0:57	NA	NA	NA	NA	NA	NA	NA	NA
BJOR-16_170_009899.JPG	2020:6:18:14:0:5	NA	NA	NA	NA	NA	NA	NA	NA
BJOR-16_170_009901.JPG	2020:6:18:16:0:11	NA	NA	NA	NA	NA	NA	NA	NA
BJOR-16_170_009902.JPG	2020:6:18:17:0:11	NA	NA	NA	NA	NA	NA	NA	NA
BJOR-16_170_009903.JPG	2020:6:18:18:0:12	NA	NA	NA	NA	NA	NA	NA	NA
BJOR-16_170_009904.JPG	2020:6:18:19:0:18	NA	NA	NA	NA	NA	NA	NA	NA
BJOR-16_170_009905.JPG	2020:6:18:20:0:18	NA	NA	NA	NA	NA	NA	NA	NA
BJOR-16_170_009907.JPG	2020:6:18:22:0:19	NA	NA	NA	NA	NA	NA	NA	NA
BJOR-16_171_009932.JPG	2020:6:19:23:0:42	NA	NA	NA	NA	NA	NA	NA	NA
BJOR-16_173_009957.JPG	2020:6:21:0:0:24	NA	NA	NA	NA	NA	NA	NA	NA
BJOR-16_173_009958.JPG	2020:6:21:1:0:25	NA	NA	NA	NA	NA	NA	NA	NA
BJOR-16_173_009959.JPG	2020:6:21:2:0:31	NA	NA	NA	NA	NA	NA	NA	NA
